dürfen	be allowed to, have the right to, may, may
neun	nine
Tag	day
deren, dessen, wessen	which one's, of which, whose
müssen, sollen	should, ought to, have to
selber, selbst	self, itself, herself, himself
nichts	nothing
Kind	infant
ein gewisser, einer, irgend einer, irgendwer, jemand, man, ein, eine, eins	one
gering, klein	small
damit, dass	so that
ein gewisser, einer, irgend einer, irgendwer, jemand, à, je, zu	an
à, je, zu	at the rate of
Mensch, Mann	man
kennen	be acquainted with
sechs	six
alles	everything
fassen, nehmen	lay hold of
oder	or
zehn	ten
drei	three
zwei	two
fünf	five
fahren, reisen	travel
kennen, wissen	know
für, um, um zu	in order to
was	what
Mensch	human being
und	and
werden	be
acht	number of eight, eight
vier	four
groß	large, big
keiner, keine, keines, niemand, kein, nicht, nein	no
da, weil	for the reason that
mehr, ferner, weiter	more
ein gewisser, einer, irgend einer, irgendwer, jemand	someone, somebody, anybody
unter, mitten unter, zwischen	between
wünschen, wollen	wish
fertig, oberhalb, über	over
wohin	where ... to
zu, zu sehr, zu viel	too much
Geflügel, Henne, Huhn	fowl
Bibliothek, Bücherei	library
hundert	hundred, one hundred
anderer, anders, sonst, andernfalls, ferner, mehr, weiter	else
billig	cheap, inexpensive
Hospital, Krankenhaus, Hospiz	hospital
Äußerung, Gesinnung, Meinung	opinion
sich entschuldigen	apologize
Unterschied	difference
Ökonomie, Wirtschaft	economy
interessant, kurios, merkwürdig, seltsam	interesting
kämpfen	strive, fight
sympathisch	sympathetic
hinaus, heraus, nach draußen	outward
Brille	spectacles, glasses
Wolle	wool
hervor, vorwärts	foreward
oberer, obere, oberes, Ober-	upper
Achtung erweisen, respektieren	respect
Spanier	Spaniard
Eingang	entrance
verheiratet	married
keiner, keine, keines, niemand	none, nobody, no-one
Geflügel	poultry, birds
je ... desto	the ... the
erhaben, hoch	lofty, high
offen	open
Klient, Kunde	customer, client
Pneumatik, Reifen	tyre
blank, rein, reinlich, sauber	clean
wägen, abwägen, wiegen, schwer sein	weigh
Kleider	clothing, clothes
als, wann, wenn, gemäß, nach, da, denn, weil, wie, inwiefern	as
Banner, Fahne, Flagge	banner
Musikaufführung, Konzert	concert
Gute Nacht	good night
gering, klein, wenig	little
grüßen, begrüßen	greet, salute
einladen	invite
Reich, Staat	realm
vernichten, zerstören, umbringen, verderben	destroy
dreißig	thirty
einmal, einst, irgendwann, jemals	at some time, sometime
folgen	come after
lernen	learn
bündig, gedrängt, kurz	concise
